Tempo(s),Canal0(V),Canal2(V),Canal3(V),Label
132.10949206352234,1.683,2.72475,1.56275,2
132.17578125,1.84325,3.52625,1.76325,2
132.24239253997803,2.04375,3.0455,1.76325,2
132.30872106552124,1.9235,3.28575,1.723,2
132.37529945373535,1.723,2.72475,1.52275,2
132.44210982322693,1.723,3.52625,1.683,2
132.50870871543884,1.84325,3.6865,1.84325,2
132.575439453125,1.84325,2.96525,1.76325,2
132.64255571365356,1.683,2.88525,1.683,2
132.70914959907532,1.84325,3.0455,1.76325,2
132.7756941318512,1.80325,2.60475,1.683,2
132.8424198627472,1.84325,2.4845,1.60275,2
132.90909934043884,1.80325,3.20575,1.723,2
132.9757080078125,1.84325,2.96525,1.723,2
133.04258370399475,1.84325,3.00525,1.683,2
133.10938048362732,1.9235,2.88525,1.683,2
133.17597603797913,1.683,3.0455,1.683,2
133.24274682998657,1.643,2.88525,1.76325,2
133.3094654083252,1.80325,2.88525,1.683,2
133.4002091884613,1.84325,2.805,1.76325,2
133.46979641914368,1.9235,2.64475,1.84325,2
133.53682780265808,1.9635,2.64475,1.683,2
133.6039526462555,1.9235,2.72475,1.76325,2
133.67295598983765,1.84325,2.765,1.683,2
133.74018216133118,1.80325,2.845,1.683,2
133.807382106781,1.84325,2.36425,1.683,2
133.87453818321228,1.76325,2.244,1.60275,2
133.94179391860962,1.60275,2.40425,1.52275,2
134.00880217552185,1.80325,3.00525,1.683,2
134.07594418525696,1.683,3.20575,1.723,2
134.14318990707395,1.60275,2.72475,1.683,2
134.21038579940796,1.683,2.4845,1.52275,2
134.27755689620972,1.683,2.60475,1.60275,2
134.3448576927185,1.60275,2.4845,1.56275,2
134.41211915016174,1.723,2.12375,1.52275,2
134.4794623851776,2.0035,2.5245,1.683,2
134.54683208465576,1.88325,2.805,1.723,2
134.6145248413086,1.84325,2.88525,1.683,2
134.6837718486786,1.9635,2.72475,1.683,2
134.75152778625488,2.0035,2.64475,1.76325,2
134.81888365745544,1.683,2.32425,1.60275,2
134.88635396957395,1.84325,2.4845,1.683,2
134.9538516998291,1.76325,2.36425,1.643,2
135.0213553905487,1.84325,2.204,1.683,0
135.0891568660736,1.683,2.4845,1.60275,0
135.1566767692566,1.76325,2.68475,1.60275,0
135.22416853904724,1.9235,2.5645,1.60275,0
135.29160118103027,1.9235,2.4845,1.683,0
135.35910391807556,1.88325,2.845,1.683,0
135.4265604019165,1.88325,2.36425,1.60275,0
135.49419164657593,1.643,2.2840000000000003,1.52275,0
135.56186842918396,1.643,2.08375,1.52275,0
135.6311399936676,1.60275,1.9235,1.60275,0
135.6989028453827,1.60275,1.9235,1.683,0
135.7668058872223,1.56275,1.683,1.52275,0
135.8345594406128,1.56275,1.60275,1.60275,0
135.90216588974,1.643,1.60275,1.60275,0
135.9699513912201,1.60275,1.52275,1.52275,0
136.0376842021942,1.52275,1.52275,1.4425,0
136.10549211502075,1.60275,1.60275,1.4425,0
136.17320132255554,1.683,1.56275,1.4425,0
136.24082136154175,1.643,1.643,1.60275,0
136.30866861343384,1.723,1.52275,1.52275,0
136.376366853714,1.60275,1.60275,1.48275,0
136.44405841827393,1.643,1.56275,1.48275,0
136.51179456710815,1.683,1.56275,1.52275,0
136.57952761650083,1.60275,1.52275,1.52275,0
136.6479594707489,1.56275,1.56275,1.48275,0
136.71578431129456,1.48275,1.60275,1.52275,0
136.78385853767395,1.48275,1.60275,1.52275,0
